Player 0 has 4347 violations: 
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 is blocking an entrance']
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 exited through an entrance']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
['Player 0 ran into a wall']
